base,prime_factors,radical,phi_over_b,candidate_count_exact,candidate_density_exact,relative_candidate_sites_vs_odd,kl_from_uniform_bits,normalized_entropy,reduced_chi2,max_prime_rate_lift,min_prime_rate_lift,lift_cv,excess_transition_js,excess_internal_js,excess_digit_sum_js
44,2*11,22,0.45454545454545453,45454544,0.4545454445454544,0.9090908890909088,6.154490997501974e-07,0.999999882975596,0.135012649686533,1.0021307508404427,0.9983644322852088,0.0009245713321247,0.0189136089065621,-0.0011224320887863,0.0029268191305619
45,3*5,15,0.5333333333333333,53333332,0.5333333253333332,1.0666666506666664,6.305847061626892e-07,0.9999998813828457,0.1354365772205804,1.0021415206357622,0.9982753246151168,0.0009357480908408,0.0085529097647392,-0.0010989633535377,0.4005211140522376
46,2*23,46,0.4782608695652174,47826086,0.4782608647826086,0.9565217295652172,6.67836892240814e-07,0.9999998744447329,0.1406300952279161,1.0021230076081314,0.9981529149315892,0.0009629878644396,0.0202766116157194,-0.0011664306480283,0.0030198207186641
47,47,47,0.9787234042553191,97872340,0.978723409787234,1.957446819574468,6.914347636429286e-07,0.9999998716534738,0.1423253151872646,1.0022259615340239,0.9981660076741754,0.0009797828724646,0.0003321910151108,-0.0013815273550316,0.4924017733299084
48,2*3,6,0.3333333333333333,33333332,0.33333332333333325,0.6666666466666664,5.573262598607575e-07,0.9999998984879006,0.1117075463581725,1.0017393067624288,0.9986055334611724,0.0008791249813173,0.026686707480082,-0.0013555155302903,0.0028344955899556
49,7,7,0.8571428571428571,85714285,0.8571428585714286,1.7142857171428572,6.184455304092573e-07,0.9999998861964475,0.1221696583767615,1.0020420301305009,0.9984537153270104,0.0009264576728296,0.0011422134201853,-0.0014262373880041,0.5022027287665868
50,2*5,10,0.4,39999999,0.39999999399999994,0.7999999879999998,6.257786824726728e-07,0.9999998868619442,0.121054343782741,1.002172076614102,0.9986233328503524,0.0009316339795839,0.0230758593685822,-0.0015332751873473,0.002178626310326
51,3*17,51,0.6274509803921569,62745097,0.6274509762745097,1.2549019525490195,6.256396785087937e-07,0.9999998889732855,0.118354090242674,1.0019583412312598,0.9984061637389124,0.0009314584618506,0.0085909781888955,-0.001548482857984,0.3395366220549933
52,2*13,26,0.46153846153846156,46153845,0.4615384546153845,0.923076909230769,6.639371936887128e-07,0.9999998822895766,0.1223866014870162,1.0023499879483964,0.9984126092434208,0.0009595776094099,0.0258094385463704,-0.0015419652579404,0.0022939641921566
53,53,53,0.9811320754716981,98113207,0.9811320798113208,1.9622641596226416,7.493212813649786e-07,0.9999998692227738,0.1173676086549378,1.0024083076718118,0.9983287809569106,0.001019292865511,0.0001714946085218,-0.0017073987566334,0.4962311152890564
54,2*3,6,0.3333333333333333,33333332,0.33333332333333325,0.6666666466666664,6.967575739123655e-07,0.999999878903985,0.106387713770248,1.0023047018001734,0.9983750097058904,0.0009828338308096,0.0292962815850622,-0.0017120820315917,0.0015662402071735
55,5*11,55,0.7272727272727273,72727272,0.7272727172727271,1.4545454345454543,7.770430591413469e-07,0.9999998660269644,0.1175311573192017,1.0025590436548533,0.9982768084222852,0.0010378757227054,0.0020578508793467,-0.0019419363033938,0.4292630473320449
56,2*7,14,0.42857142857142855,42857142,0.42857142428571426,0.8571428485714285,7.848539739923155e-07,0.9999998665243357,0.116612803749136,1.002363597972357,0.9981655112974704,0.0010430344737507,0.0290320751084195,-0.0019407897392466,0.0013891986351609
57,3*19,57,0.631578947368421,63157894,0.6315789363157893,1.2631578726315786,7.823244695170705e-07,0.9999998688399449,0.1117228859908987,1.0022903056821109,0.998053474187348,0.0010412575408348,0.009061300683803,-0.0018773215605033,0.3368357814633712
58,2*29,58,0.4827586206896552,48275861,0.482758604827586,0.965517209655172,7.912029389841791e-07,0.9999998684604798,0.1088191296061106,1.0022646835463653,0.9980391168297176,0.001047143692954,0.0297698967604546,-0.001985473910434,0.0016636436989887
59,59,59,0.9830508474576272,98305084,0.9830508498305085,1.966101699661017,8.206044045250704e-07,0.9999998651158466,0.1149813553090886,1.0021295693351835,0.9974490499134512,0.0010665066580746,0.0002621005138018,-0.0020714941090224,0.4978869065109606
60,2*3*5,30,0.26666666666666666,26666665,0.2666666526666665,0.5333333053333331,7.645926433753392e-07,0.9999998756620648,0.1047991521182199,1.0023652665394454,0.9977047834153132,0.0010295870336002,0.0315982958674255,-0.0022744260786512,0.0010794719165378
61,61,61,0.9836065573770492,98360655,0.9836065598360657,1.9672131196721314,8.4326774201231e-07,0.9999998637817848,0.1152943903814928,1.0023662179062442,0.998149417542214,0.0010804889600099,-0.0013533539470639,-0.0021871555439768,0.5814033380707304
62,2*31,62,0.4838709677419355,48387095,0.4838709548387095,0.967741909677419,8.418245993228221e-07,0.9999998641383364,0.1132416709485044,1.0023105076183143,0.9979458198791304,0.0010796020437018,0.031320654389445,-0.0020590452905879,0.0012350390908811
63,3*7,21,0.5714285714285714,57142856,0.5714285657142857,1.1428571314285714,7.936235614902198e-07,0.9999998742771187,0.1045214989906281,1.0026187200720529,0.9980987814239432,0.0010488153101824,0.0107750089004684,-0.0024914350615785,0.3388623280892398
