panel,sample_min_p,sample_intervals,wheel_through_q,model_valid_all_intervals,invalid_interval_count,dispersion_ratio_R,fraction_initial_dispersion_deficit_explained,surviving_candidates_total,actual_primes_total,prime_fraction_among_survivors,composite_candidates_eliminated_fraction,max_conditional_probability_mu_over_C,median_conditional_probability_mu_over_C
p>=4001,4001,450,17,True,0,0.41783297771442685,0.1661327833279918,8453432,2688678,0.31805756525870205,0.8693990058948532,0.3340933319545278,0.3189807235981666
p>=4001,4001,450,19,True,0,0.4290139064851922,0.18214779207459278,8008490,2688678,0.33572845817376307,0.8794792048971233,0.3525866675196179,0.33668393417021936
p>=4001,4001,450,23,True,0,0.43917504367018406,0.19670210184879927,7660273,2688678,0.3509898407014998,0.8873680907653341,0.3688681788171146,0.3520374642458626
p>=4001,4001,450,29,True,0,0.4478701299490362,0.20915651289668707,7396101,2688678,0.36352640397961034,0.8933529299821931,0.3818373391732075,0.36458351665710265
p>=4001,4001,450,31,True,0,0.4566108402222179,0.22167627349497657,7157505,2688678,0.37564458564821124,0.8987583427351937,0.3945132998205902,0.37669731460891487
p>=4001,4001,450,37,True,0,0.46441504971702635,0.23285463674924034,6964065,2688678,0.3860788203441524,0.9031407424524583,0.4054919247212051,0.38719010154691114
p>=4001,4001,450,41,True,0,0.47185832325902594,0.24351601321647517,6794237,2688678,0.39572920402982703,0.9069882102935646,0.41560452252849905,0.3967927658364575
p>=4001,4001,450,43,True,0,0.47938703547180495,0.2542997678052314,6636279,2688678,0.4051484273039153,0.910566762271127,0.4256050784855775,0.40614564792839897
p>=4001,4001,450,47,True,0,0.48663276208648687,0.2646781878353294,6495132,2688678,0.4139527880264789,0.9137644596082483,0.4349795013457068,0.41507437274681225
p>=4001,4001,450,53,True,0,0.49339454794927534,0.2743634350947829,6372612,2688678,0.4219114548320218,0.9165401606698655,0.44348375920002947,0.42289783089029565
p>=4001,4001,450,71,True,0,0.5181166105380851,0.3097740934319528,5984139,2688678,0.44930072647042457,0.9253410496554162,0.4724191622978511,0.4504673681737777
p>=4001,4001,450,97,True,0,0.5461958159670286,0.34999335694411565,5632144,2688678,0.47738090503367814,0.9333155264362192,0.5020730021584978,0.4785461837317415
p>=4001,4001,450,127,True,0,0.5764920748126343,0.3933882179927161,5328115,2688678,0.5046208649775765,0.9402033293913484,0.5302732770178551,0.5056544533202338
p>=4001,4001,450,173,True,0,0.615295395559924,0.44896817328139177,5018899,2688678,0.5357107206182073,0.9472086442743802,0.5636296553868195,0.536859255400896
p>=4001,4001,450,251,True,0,0.6668311316396729,0.5227854098456491,4706394,2688678,0.5712819623686415,0.9542884717332499,0.6010118342957137,0.5721570947710062
p>=4001,4001,450,313,True,0,0.7016754420503571,0.5726946747589063,4539202,2688678,0.5923239371149378,0.9580762207692761,0.6230253670587372,0.5935449572464935
p>=4001,4001,450,397,True,0,0.7386010434918991,0.6255850778894609,4390253,2688678,0.6124198309300171,0.9614506730825868,0.6452307890372599,0.6132165804969163
p>=4001,4001,450,499,True,0,0.7855352655065563,0.6928113335512428,4233426,2688678,0.6351068850618861,0.9650036021585765,0.6703585887423414,0.6362226396448916
p>=4001,4001,450,631,True,0,0.8401550470800768,0.7710460041740026,4085256,2688678,0.6581418643042198,0.9683604061603708,0.7001432920069773,0.6591066034461925
p>=4001,4001,450,797,True,0,0.9063994817487515,0.8659312522945698,3939472,2688678,0.682497045289318,0.9716631551284317,0.7305257606585025,0.6836754081755541
p>=4001,4001,450,997,True,0,0.9894240625461599,0.984851550859566,3796899,2688678,0.708124709137641,0.9748931586173148,0.7575500978247327,0.7092327616369378
p>=4001,4001,450,1259,True,0,1.1031568685864048,1.1477567907420048,3648505,2688678,0.7369259463807779,0.9782550373582358,0.7920406888249564,0.7381240229535924
p>=4001,4001,450,1583,True,0,1.2584623824732237,1.3702087188676955,3503127,2688678,0.7675080007090808,0.9815485883616295,0.8266246572582379,0.7691363188201781
p>=4001,4001,450,1999,True,0,1.4779477189627521,1.6845886470201075,3363394,2688678,0.7993943023029714,0.9847142514080136,0.8655290001592306,0.8008431415087753
p>=4001,4001,450,2503,True,0,1.8398318295791949,2.202933528344445,3224032,2688678,0.8339489186211552,0.987871509417719,0.9125686197331019,0.8359458159802611
p>=4001,4001,450,3163,True,0,2.5923700308108315,3.2808319857953134,3085532,2688678,0.8713823094364278,0.9910092387438209,0.9638578692867407,0.8735953886170494
p>=4001,4001,450,3989,False,11,,,2939345,2688678,0.914720116216368,0.9943211177112926,1.0185879691200572,0.9172150415313138
