الترتيب,p,p^2,p^2 + 1,المكونات الأساسية لـ p² + 1,p² + 2,المكونات الأساسية لـ p² + 2
317,2099,4405801,4405802,(2، 1289، 1709),4405803,(3، 251، 5851)
318,2111,4456321,4456322,(2، 13، 101، 1697),4456323,(3، 165049)
319,2113,4464769,4464770,(2، 5، 446477),4464771,(3، 683، 2179)
320,2129,4532641,4532642,(2، 17، 29، 4597),4532643,(3، 73، 6899)
321,2131,4541161,4541162,(2، 101، 22481),4541163,(3، 11، 241، 571)
322,2137,4566769,4566770,(2، 5، 13، 35129),4566771,(3، 11، 163، 283)
323,2141,4583881,4583882,(2، 41، 55901),4583883,(3، 19، 137، 587)
324,2143,4592449,4592450,(2، 5، 53، 1733),4592451,(3، 41، 37337)
325,2153,4635409,4635410,(2، 5، 13، 181، 197),4635411,(3، 11، 19، 7393)
326,2161,4669921,4669922,(2، 2334961),4669923,(3، 1556641)
327,2179,4748041,4748042,(2، 13، 182617),4748043,(3، 19، 83299)
328,2203,4853209,4853210,(2، 5، 53، 9157),4853211,(3، 11، 17، 41، 211)
329,2207,4870849,4870850,(2، 5، 61، 1597),4870851,(3، 241، 6737)
330,2213,4897369,4897370,(2، 5، 109، 4493),4897371,(3، 1632457)
331,2221,4932841,4932842,(2، 29، 85049),4932843,(3، 233، 7057)
332,2237,5004169,5004170,(2، 5، 500417),5004171,(3، 17، 32707)
333,2239,5013121,5013122,(2، 2506561),5013123,(3، 1671041)
334,2243,5031049,5031050,(2، 5، 100621),5031051,(3، 137، 12241)
335,2251,5067001,5067002,(2، 37، 68473),5067003,(3، 17، 73، 1361)
336,2267,5139289,5139290,(2، 5، 13، 3041),5139291,(3، 19، 90163)
337,2269,5148361,5148362,(2، 2574181),5148363,(3، 11، 156011)
338,2273,5166529,5166530,(2، 5، 516653),5166531,(3، 191353)
339,2281,5202961,5202962,(2، 2601481),5202963,(3، 673، 859)
340,2287,5230369,5230370,(2، 5، 41، 12757),5230371,(3، 1743457)
341,2293,5257849,5257850,(2، 5، 13، 8089),5257851,(3، 19، 92243)
342,2297,5276209,5276210,(2، 5، 257، 2053),5276211,(3، 1758737)
343,2309,5331481,5331482,(2، 13، 53، 73),5331483,(3، 592387)
344,2311,5340721,5340722,(2، 409، 6529),5340723,(3، 97، 18353)
345,2333,5442889,5442890,(2، 5، 17، 101، 317),5442891,(3، 83، 21859)
346,2339,5470921,5470922,(2، 269، 10169),5470923,(3، 17، 107273)
347,2341,5480281,5480282,(2، 2740141),5480283,(3، 1826761)
348,2347,5508409,5508410,(2، 5، 550841),5508411,(3، 113، 16249)
349,2351,5527201,5527202,(2، 2763601),5527203,(3، 11، 167491)
350,2357,5555449,5555450,(2، 5، 111109),5555451,(3، 11، 168347)
351,2371,5621641,5621642,(2، 13، 216217),5621643,(3، 69403)
352,2377,5650129,5650130,(2، 5، 565013),5650131,(3، 1883377)
353,2381,5669161,5669162,(2، 2834581),5669163,(3، 19، 43، 257)
354,2383,5678689,5678690,(2، 5، 157، 3617),5678691,(3، 59، 32083)
355,2389,5707321,5707322,(2، 2853661),5707323,(3، 41، 15467)
356,2393,5726449,5726450,(2، 5، 17، 6737),5726451,(3، 1908817)
357,2399,5755201,5755202,(2، 37، 77773),5755203,(3، 113، 5659)
358,2411,5812921,5812922,(2، 37، 78553),5812923,(3، 1937641)
359,2417,5841889,5841890,(2، 5، 613، 953),5841891,(3، 11، 59009)
360,2423,5870929,5870930,(2، 5، 13، 45161),5870931,(3، 11، 177907)
361,2437,5938969,5938970,(2، 5، 89، 6673),5938971,(3، 571، 3467)
362,2441,5958481,5958482,(2، 1277، 2333),5958483,(3، 17، 116833)
363,2447,5987809,5987810,(2، 5، 97، 6173),5987811,(3، 1995937)
364,2459,6046681,6046682,(2، 3023341),6046683,(3، 67، 449)
365,2467,6086089,6086090,(2، 5، 608609),6086091,(3، 11، 43، 4289)
366,2473,6115729,6115730,(2، 5، 37، 16529),6115731,(3، 2038577)
367,2477,6135529,6135530,(2، 5، 29، 21157),6135531,(3، 2045177)
368,2503,6265009,6265010,(2، 5، 17، 137، 269),6265011,(3، 1051، 1987)
369,2521,6355441,6355442,(2، 53، 59957),6355443,(3، 19، 43، 2593)
370,2531,6405961,6405962,(2، 1657، 1933),6405963,(3، 41، 52081)
371,2539,6446521,6446522,(2، 3223261),6446523,(3، 97، 22153)
372,2543,6466849,6466850,(2، 5، 13، 9949),6466851,(3، 17، 73، 193)
373,2549,6497401,6497402,(2، 3248701),6497403,(3، 11، 401، 491)
374,2551,6507601,6507602,(2، 41، 61، 1301),6507603,(3، 723067)
375,2557,6538249,6538250,(2، 5، 26153),6538251,(3، 17، 128201)
376,2579,6651241,6651242,(2، 13، 349، 733),6651243,(3، 739027)
377,2591,6713281,6713282,(2، 3356641),6713283,(3، 17، 139، 947)
378,2593,6723649,6723650,(2، 5، 29، 4637),6723651,(3، 11، 67، 3041)
379,2609,6806881,6806882,(2، 3403441),6806883,(3، 19، 119419)
380,2617,6848689,6848690,(2، 5، 684869),6848691,(3، 2282897)
381,2621,6869641,6869642,(2، 13، 37، 193),6869643,(3، 11، 89، 2339)
382,2633,6932689,6932690,(2، 5، 37، 41، 457),6932691,(3، 67، 11497)
383,2647,7006609,7006610,(2، 5، 13، 53897),7006611,(3، 19، 83، 1481)
384,2657,7059649,7059650,(2، 5، 13، 10861),7059651,(3، 2353217)
