المكون_الأولي,عدد_مرات_التكرار,النسبة_من_1000
796259,1,0.001
799801,1,0.001
834787,1,0.001
846113,1,0.001
867257,1,0.001
873721,1,0.001
882377,1,0.001
893257,1,0.001
895787,1,0.001
904801,1,0.001
917633,1,0.001
936379,1,0.001
973561,1,0.001
1000667,1,0.001
1024337,1,0.001
1059697,1,0.001
1080907,1,0.001
1099121,1,0.001
1124251,1,0.001
1137137,1,0.001
1150987,1,0.001
1176881,1,0.001
1251707,1,0.001
1255147,1,0.001
1276147,1,0.001
1280969,1,0.001
1312411,1,0.001
1329337,1,0.001
1393187,1,0.001
1404937,1,0.001
1410707,1,0.001
1435627,1,0.001
1447331,1,0.001
1455569,1,0.001
1553347,1,0.001
1556641,1,0.001
1578809,1,0.001
1598539,1,0.001
1632457,1,0.001
1671041,1,0.001
1699547,1,0.001
1743457,1,0.001
1758737,1,0.001
1772033,1,0.001
1794649,1,0.001
1826761,1,0.001
1857371,1,0.001
1883377,1,0.001
1908817,1,0.001
1937641,1,0.001
1995937,1,0.001
2038577,1,0.001
2045177,1,0.001
2273059,1,0.001
2282897,1,0.001
2317499,1,0.001
2353217,1,0.001
2363857,1,0.001
2399497,1,0.001
2442617,1,0.001
2482481,1,0.001
2484827,1,0.001
2541899,1,0.001
2675297,1,0.001
2694217,1,0.001
2776667,1,0.001
2778257,1,0.001
2942281,1,0.001
3000979,1,0.001
3096427,1,0.001
3098801,1,0.001
3148259,1,0.001
3180641,1,0.001
3289387,1,0.001
3458281,1,0.001
3533147,1,0.001
3588499,1,0.001
3601139,1,0.001
3623947,1,0.001
3632201,1,0.001
3726187,1,0.001
3997457,1,0.001
4009339,1,0.001
4062361,1,0.001
4146577,1,0.001
4217417,1,0.001
4274521,1,0.001
4303217,1,0.001
4391819,1,0.001
4409257,1,0.001
4555937,1,0.001
4585561,1,0.001
4610321,1,0.001
4630177,1,0.001
4735121,1,0.001
4760281,1,0.001
4762579,1,0.001
4805737,1,0.001
4897297,1,0.001
4947659,1,0.001
5043019,1,0.001
5088217,1,0.001
5109107,1,0.001
5124187,1,0.001
5150921,1,0.001
5182417,1,0.001
5389481,1,0.001
5760217,1,0.001
5910841,1,0.001
5961481,1,0.001
5971507,1,0.001
6114697,1,0.001
6275641,1,0.001
6304601,1,0.001
6345257,1,0.001
6372259,1,0.001
6586067,1,0.001
6678779,1,0.001
6699097,1,0.001
6729017,1,0.001
6789499,1,0.001
6807121,1,0.001
6934241,1,0.001
7297681,1,0.001
7335161,1,0.001
7435577,1,0.001
7734497,1,0.001
7779521,1,0.001
8403481,1,0.001
8830537,1,0.001
9107177,1,0.001
9296321,1,0.001
9395161,1,0.001
9530137,1,0.001
9781297,1,0.001
9788521,1,0.001
9875417,1,0.001
10006481,1,0.001
10109017,1,0.001
10182577,1,0.001
10788241,1,0.001
11411401,1,0.001
11434817,1,0.001
11450441,1,0.001
11520881,1,0.001
12148457,1,0.001
12293777,1,0.001
12488881,1,0.001
12825737,1,0.001
13108481,1,0.001
13234201,1,0.001
13352081,1,0.001
13538377,1,0.001
14001121,1,0.001
14305201,1,0.001
14418977,1,0.001
14550817,1,0.001
14869681,1,0.001
14914241,1,0.001
15426937,1,0.001
15545081,1,0.001
15672817,1,0.001
15727721,1,0.001
16254097,1,0.001
16394057,1,0.001
16422121,1,0.001
16902881,1,0.001
16931377,1,0.001
17246417,1,0.001
17419481,1,0.001
17458057,1,0.001
17487017,1,0.001
17506337,1,0.001
17535337,1,0.001
17748737,1,0.001
17924297,1,0.001
18835097,1,0.001
19046161,1,0.001
19288817,1,0.001
19451441,1,0.001
19502401,1,0.001
19604521,1,0.001
19696657,1,0.001
