mode,panel_id,median_X,median_H,X_over_H,alpha_log,alpha_best,alpha_relative_error,rho1_pred,rho1_target,kernel_rmse_log,shape_rmse,kernel_rmse_best_scalar
sqrtH,X2e+08_off-128,166564855.0,161556.0,1031.0038314887718,0.8464599421293588,0.8664060535289877,0.02356415278134998,-0.09500306351666817,-0.09792791729484634,0.0006874593220681406,0.004106351660529954,0.0003598161830686641
sqrtH,X2e+08_off+0,199812637.0,219264.0,911.2879314433742,0.861790846681437,0.8649704241845928,0.003689500202281821,-0.09458409323997029,-0.09507032929115544,0.00018298679760845425,0.0017113143255275782,0.00015870015226340719
sqrtH,X2e+08_off+128,235162291.0,237840.0,988.7415531449714,0.8515972023314354,0.8276262904854949,-0.02814818059560895,-0.09828923555839625,-0.09591634428065386,0.000772461547246822,0.003092070968655279,0.0002782825519399647
sqrtH,X2e+09_off-128,1876882351.0,701952.0,2673.80440685403,0.7442391719687421,0.7500859871201382,0.00785609703387345,-0.08219888235989078,-0.0831657964446913,0.0002505883082867142,0.0024457382504237753,0.0001852914018724592
sqrtH,X2e+09_off+0,2000549371.0,720192.0,2777.800046376522,0.7406578375386876,0.7445947778559902,0.0053154643315266,-0.08194726146514406,-0.08269212297123059,0.00022969230742149685,0.002604150707527379,0.00019970052601079192
sqrtH,X2e+09_off+128,2132500063.0,827364.0,2577.4629582626267,0.7477162816219778,0.7545092207571871,0.009084915364520023,-0.08148207622848562,-0.08221258956743596,0.0002510803905303251,0.001957932990522059,0.00016094675100717363
sqrtH,X2e+10_off-128,19585442827.0,2790480.0,7018.664468836902,0.6631397204845576,0.6679464158503613,0.007248390071237823,-0.07172188905271672,-0.07267122005185715,0.00027998093533871,0.003704908394249456,0.00024456738453194405
sqrtH,X2e+10_off+0,19998768067.0,2824320.0,7080.914367706209,0.6624792036770086,0.648085201446159,-0.02172747786037284,-0.07284382310538404,-0.07182085368413023,0.0004988037979391172,0.004353351452423294,0.00027597808222005414
sqrtH,X2e+10_off+128,20434702573.0,2857380.0,7151.552321707299,0.661738249689806,0.6612182889527234,-0.0007857498600486492,-0.07290591121255934,-0.07287920692067598,0.00016421565356936548,0.002246613662545705,0.0001635380199629257
sqrtH,X2e+11_off-128,198311683813.0,8907600.0,22263.200392137052,0.5866711286664111,0.5868913543495708,0.0003753818321694453,-0.0641029268178836,-0.06479155639566465,0.00034480691759586953,0.005965747484651816,0.00034474882506476805
sqrtH,X2e+11_off+0,199995889735.0,10725120.0,18647.426763989588,0.5972446090916763,0.5940078742675705,-0.005419445859927331,-0.06419056207606363,-0.0645992545587976,0.00035899552526093845,0.006196117370531488,0.0003470978152431267
sqrtH,X2e+11_off+128,201604592035.0,8965740.0,22486.10734139067,0.586087858760117,0.5882521618499972,0.0036927963231635145,-0.06507160991467621,-0.06519980135338169,0.00014705878358555336,0.002092149743851525,0.00013329343072290622
sqrtH,X2e+12_off-128,1994815852135.0,28256700.0,70596.20734675316,0.5260299293698,0.5221529861754666,-0.007370195074219639,-0.05804121179895265,-0.05792783428454215,0.00020412751670086427,0.0032716888557912187,0.0001707764292173424
sqrtH,X2e+12_off+0,2000011137493.0,33950952.0,58908.83818200444,0.5346976166405247,0.5395428879252497,0.009061703538473903,-0.05771864955654248,-0.05883630982897275,0.00032362510450206327,0.005643833568833037,0.0002929541652127518
sqrtH,X2e+12_off+128,2005625272423.0,33993480.0,59000.292774467336,0.5346221100985131,0.5285571860055241,-0.011344319620210644,-0.05960751513582689,-0.05891310500066519,0.00028807728278480076,0.003879526400870258,0.00022850615409290322
count_over_shortvar,X2e+07_off-128,11672569.0,44544.0,262.04581986350576,1.054675872459716,1.0711402762045519,0.015610866025063721,-0.1164138364497598,-0.11819768921971856,0.0007481262544426684,0.00489519933884671,0.000578535306102072
count_over_shortvar,X2e+07_off+0,20043595.0,56412.0,355.307292774587,1.0,0.9999999999999996,-4.440892098500626e-16,-0.11295816682562702,-0.11295816682562704,4.039569103081037e-17,3.7193701145880155e-16,3.742492523562034e-17
count_over_shortvar,X2e+07_off+128,31069495.0,70020.0,443.72315052842043,0.9635421685528552,0.9819974992391881,0.019153630519410426,-0.10754645599018291,-0.10979230136494036,0.0005848734578471252,0.0021601238591450788,0.00023216188624212254
count_over_shortvar,X2e+08_off-128,166564855.0,161556.0,1031.0038314887718,0.8464599421293588,0.8603146440837078,0.016367817618747622,-0.09551094589004168,-0.09792791729484634,0.0005708298776470375,0.004657344546710721,0.00039742590654187957
count_over_shortvar,X2e+08_off+0,199812637.0,219264.0,911.2879314433742,0.861790846681437,0.8618886060118026,0.00011343742016064342,-0.09457484016253502,-0.09507032929115544,0.0002764129848097416,0.003199535651507366,0.00027639869388475913
count_over_shortvar,X2e+08_off+128,235162291.0,237840.0,988.7415531449714,0.8515972023314354,0.8157453103920046,-0.042099588680280256,-0.09973704594821968,-0.09591634428065386,0.0011332085526404255,0.0032680253643884885,0.00029758394103630295
count_over_shortvar,X2e+09_off-128,1876882351.0,701952.0,2673.80440685403,0.7442391719687421,0.7457360826974574,0.0020113302082118067,-0.08256095149717109,-0.0831657964446913,0.00026286070921423043,0.0034091401735591134,0.0002592459915921763
count_over_shortvar,X2e+09_off+0,2000549371.0,720192.0,2777.800046376522,0.7406578375386876,0.7383285667215435,-0.0031448675745937983,-0.08286493408805501,-0.08269212297123059,0.0002013277041874565,0.0023093706399353684,0.00018959960339796062
count_over_shortvar,X2e+09_off+128,2132500063.0,827364.0,2577.4629582626267,0.7477162816219778,0.7510146371603197,0.004411239422507918,-0.08187345683846549,-0.08221258956743596,0.00028196989856778027,0.003234310567475849,0.00026583921265598665
count_over_shortvar,X2e+10_off-128,19585442827.0,2790480.0,7018.664468836902,0.6631397204845576,0.6606070728715412,-0.0038191764642989618,-0.0723248497177638,-0.07267122005185715,0.00029714728762924214,0.00455989703134388,0.0002881396441075983
count_over_shortvar,X2e+10_off+0,19998768067.0,2824320.0,7080.914367706209,0.6624792036770086,0.6376720387671603,-0.037445952676188575,-0.07397460826586977,-0.07182085368413023,0.0007976903618824783,0.005075931195648945,0.0003266284154691379
count_over_shortvar,X2e+10_off+128,20434702573.0,2857380.0,7151.552321707299,0.661738249689806,0.6516742075967791,-0.015208493838378691,-0.07398681917639513,-0.07287920692067598,0.0003269168086204437,0.001999499929326892,0.00014564991494108045
count_over_shortvar,X2e+11_off-128,198311683813.0,8907600.0,22263.200392137052,0.5866711286664111,0.5781064636783589,-0.01459874974164985,-0.06488206112858608,-0.06479155639566465,0.0004729500620863811,0.007111774728686025,0.00040155875020353514
count_over_shortvar,X2e+11_off+0,199995889735.0,10725120.0,18647.426763989588,0.5972446090916763,0.5860189113281645,-0.018795812624553397,-0.0649573784400249,-0.0645992545587976,0.0004972018392638073,0.006839992760653098,0.0003786736858830319
count_over_shortvar,X2e+11_off+128,201604592035.0,8965740.0,22486.10734139067,0.586087858760117,0.5777394227707704,-0.01424434214864639,-0.06652580580532866,-0.06519980135338169,0.00038042220374762077,0.004719743038977729,0.0002919009239853008
count_over_shortvar,X2e+12_off-128,1994815852135.0,28256700.0,70596.20734675316,0.5260299293698,0.5091806708041081,-0.032030988399990454,-0.05948728758488177,-0.05792783428454215,0.0005387188298778267,0.0038627718289530573,0.00020465030046431154
count_over_shortvar,X2e+12_off+0,2000011137493.0,33950952.0,58908.83818200444,0.5346976166405247,0.5274787950831448,-0.013500755067388208,-0.059052299913753346,-0.05883630982897275,0.00039042225375628993,0.006171742806852384,0.00032941553384787417
count_over_shortvar,X2e+12_off+128,2005625272423.0,33993480.0,59000.292774467336,0.5346221100985131,0.5171622038781692,-0.03265840654649804,-0.06081486881644027,-0.05891310500066519,0.0005623905693136946,0.0038090851032100887,0.00022333175369440325
